"","scientificName","ias"
"446","Reithrodontomys spectabilis","Mus musculus"
"447","Oryzomys antillarum","Unspecified HERPESTIDAE"
"448","Oryzomys nelsoni","Rattus rattus"
"449","Nesoryzomys fernandinae","Mus musculus"
"450","Nesoryzomys swarthi","Mus musculus"
"451","Nesoryzomys narboroughi","Mus musculus"
"452","Pseudomys apodemoides","Vulpes vulpes"
"453","Pseudomys pilligaensis","Felis catus"
"454","Pseudomys fieldi","Vulpes vulpes"
"455","Pseudomys fumeus","Phytophthora cinnamomi"
"456","Pseudomys novaehollandiae","Felis catus"
"457","Pseudomys calabyi","Felis catus"
"458","Pseudomys higginsi","Vulpes vulpes"
"459","Pseudomys glaucus","Vulpes vulpes"
"460","Papagomys armandvillei","Canis familiaris"
"461","Chrotomys mindorensis","Canis familiaris"
"462","Notomys macrotis","Felis catus"
"463","Notomys mordax","Felis catus"
"464","Notomys cervinus","Felis catus"
"465","Notomys aquilo","Felis catus"
"466","Notomys amplus","Felis catus"
"467","Notomys longicaudatus","Felis catus"
"468","Notomys fuscus","Vulpes vulpes"
"469","Tokudaia muenninki","Rattus rattus"
"470","Tokudaia osimensis","Rattus rattus"
"471","Tokudaia tokunoshimensis","Canis familiaris"
"472","Mastacomys fuscus","Vulpes vulpes"
"473","Rattus jobiensis","Rattus rattus"
"474","Rattus richardsoni","Canis familiaris"
"475","Rattus feliceus","Rattus rattus"
"476","Rattus morotaiensis","Unspecified MURIDAE"
"477","Rattus nativitatis","Rattus rattus"
"478","Rattus elaphinus","Unspecified Rattus"
"479","Rattus adustus","Rattus rattus"
"480","Nesoromys ceramicus","Rattus rattus"
"481","Mesembriomys gouldii","Felis catus"
"482","Conilurus albipes","Felis catus"
"483","Conilurus penicillatus","Unspecified CERVIDAE"
"484","Bunomys coelestis","Unspecified Rattus"
"485","Xeromys myoides","Sus scrofa"
"486","Zyzomys pedunculatus","Brachiaria mutica"
"487","Zyzomys maini","Felis catus"
"488","Zyzomys palatalis","Felis catus"
"489","Leporillus apicalis","Ovis aries"
"490","Leporillus conditor","Felis catus"
"491","Diplothrix legata","Canis familiaris"
"492","Diporiphora bennettii","Rhinella marina"
"493","Amphibolurus burnsi","Felis catus"
"494","Varanus panoptes","Rhinella marina"
"495","Acanthophis antarcticus","Vulpes vulpes"
"496","Acanthophis hawkei","Rhinella marina"
"497","Acanthophis praelongus","Rhinella marina"
"498","Acanthophis pyrrhus","Rhinella marina"
"499","Cryptophis incredibilis","Sus domesticus"
"500","Demansia papuensis","Rhinella marina"
"501","Demansia psammophis","Rhinella marina"
"502","Demansia rimicola","Felis catus"
"503","Oxyuranus microlepidotus","Felis catus"
"504","Pseudechis australis","Rhinella marina"
"505","Pseudechis colletti","Rhinella marina"
"506","Pseudechis papuanus","Rhinella marina"
"507","Pseudechis porphyriacus","Rhinella marina"
"508","Pseudechis weigeli","Rhinella marina"
"509","Pseudonaja ingrami","Rhinella marina"
"510","Pseudonaja nuchalis","Rhinella marina"
"511","Atelopus patazensis","Batrachochytrium dendrobatidis"
"512","Sus cebifrons","Sus domesticus"
"513","Sus philippensis","Sus domesticus"
"514","Sus oliveri","Sus domesticus"
"515","Anadia bogotensis","Felis catus"
"516","Phyllodactylus ventralis","Hemidactylus frenatus"
"517","Lepidoblepharis colombianus","Capra hircus"
"518","Equus africanus","Equus asinus"
"519","Brachylagus idahoensis","Bromus tectorum"
"520","Pentalagus furnessi","Canis familiaris"
"521","Sylvilagus dicei","Canis latrans"
"522","Cryptoprocta ferox","Felis catus"
"523","Fossa fossana","Felis catus"
"524","Galidictis fasciata","Canis familiaris"
"525","Galidictis grandidieri","Canis familiaris"
"526","Mungotictis decemlineata","Canis familiaris"
"527","Mustela lutreola","Neovison vison"
"528","Mustela nigripes","Yersinia pestis"
"529","Procyon pygmaeus","Boa constrictor"
"530","Salanoia concolor","Canis familiaris"
"531","Galidia elegans","Felis catus"
"532","Eupleres major","Canis familiaris"
"533","Eupleres goudotii","Viverricula indica"
"534","Herpestes flavescens","Canis familiaris"
"535","Conepatus leuconotus","Sus scrofa"
"536","Spilogale pygmaea","Felis catus"
